Rank,Name,Rank_Again,Symbol,Price,24h,7d,Market Cap,Volume USD,Volume Units,Circulating Supply,price,market_cap,volume_usd
1,Bitcoin,1,BTC,"$33,605.48",7.24%,22.30%,"$624,704,449,630","$85,357,332,181","2,539,982 BTC","18,589,362 BTC",33605.48,624704449630.0,85357332181.0
2,Ethereum,2,ETH,$907.11,18.56%,38.97%,"$103,501,344,939","$33,166,891,907","36,563,255 ETH","114,100,113 ETH",907.11,103501344939.0,33166891907.0
3,Tether,3,USDT,$1.00,0.03%,0.32%,"$21,366,645,307","$113,280,312,917","113,081,449,800 USDT","21,329,136,250 USDT",1.0,21366645307.0,113280312917.0
4,Litecoin,4,LTC,$150.96,15.99%,11.39%,"$9,998,057,939","$14,313,414,625","94,817,813 LTC","66,231,155 LTC",150.96,9998057939.0,14313414625.0
5,XRP,5,XRP,$0.220830,4.40%,22.91%,"$10,026,565,003","$5,005,187,989","22,665,359,348 XRP","45,404,028,640 XRP",0.22083,10026565003.0,5005187989.0
6,Polkadot,6,DOT,$9.32,3.16%,81.53%,"$8,350,193,962","$2,839,698,291","304,842,019 DOT","896,394,521 DOT",9.32,8350193962.0,2839698291.0
7,Bitcoin Cash,7,BCH,$393.91,11.63%,13.29%,"$7,327,076,847","$7,066,093,201","17,938,317 BCH","18,600,863 BCH",393.91,7327076847.0,7066093201.0
8,Cardano,8,ADA,$0.196761,8.98%,26.41%,"$6,121,714,558","$1,926,974,329","9,793,491,455 ADA","31,112,484,646 ADA",0.196761,6121714558.0,1926974329.0
9,Binance Coin,9,BNB,$40.54,6.46%,21.51%,"$5,853,605,847","$718,107,941","17,715,490 BNB","144,406,561 BNB",40.54,5853605847.0,718107941.0
10,Chainlink,10,LINK,$13.30,11.10%,20.29%,"$5,312,575,965","$2,081,870,190","156,558,145 LINK","399,509,556 LINK",13.3,5312575965.0,2081870190.0
,USD Coin,,USDC,$0.999878,-0.00%,-0.00%,,,,,0.999878,,
,Wrapped Bitcoin,,WBTC,$33798.15,7.76%,23.31%,,,,,33798.15,,
,Bitcoin SV,,BSV,$171.13,3.61%,1.81%,,,,,171.13,,
,Stellar,,XLM,$0.133841,1.90%,-5.73%,,,,,0.133841,,
,EOS,,EOS,$2.77,4.26%,3.72%,,,,,2.77,,
,Monero,,XMR,$135.99,-3.03%,-16.96%,,,,,135.99,,
,THETA,,THETA,$2.16,2.29%,48.75%,,,,,2.16,,
,TRON,,TRX,$0.028522,5.64%,2.85%,,,,,0.028522,,
,NEM,,XEM,$0.205531,-1.47%,-10.90%,,,,,0.205531,,
,Tezos,,XTZ,$2.11,3.75%,7.70%,,,,,2.11,,
,VeChain,,VET,$0.024428,26.10%,37.88%,,,,,0.024428,,
,Dogecoin,,DOGE,$0.012348,70.60%,163.90%,,,,,0.012348,,
,Celsius,,CEL,$6.55,14.46%,60.25%,,,,,6.55,,
,Uniswap,,UNI,$5.30,12.59%,53.06%,,,,,5.3,,
,UNUS SED LEO,,LEO,$1.36,0.45%,-0.00%,,,,,1.36,,
,Crypto.com Coin,,CRO,$0.059491,-8.09%,3.89%,,,,,0.059491,,
,Dai,,DAI,$1.00,-0.23%,-0.08%,,,,,1.0,,
,Cosmos,,ATOM,$5.68,2.31%,19.83%,,,,,5.68,,
,Binance USD,,BUSD,$1.00,-0.03%,0.01%,,,,,1.0,,
,Neo,,NEO,$15.45,6.53%,5.54%,,,,,15.45,,
,Aave,,AAVE,$88.26,3.67%,15.39%,,,,,88.26,,
,Revain,,REV,$0.011664,-0.07%,0.18%,,,,,0.011664,,
,Huobi Token,,HT,$4.92,-1.70%,23.49%,,,,,4.92,,
,Synthetix,,SNX,$8.84,5.06%,12.17%,,,,,8.84,,
,Filecoin,,FIL,$21.61,-3.40%,-6.98%,,,,,21.61,,
,Dash,,DASH,$89.88,0.30%,-15.00%,,,,,89.88,,
,IOTA,,MIOTA,$0.299711,3.50%,6.51%,,,,,0.299711,,
,Zilliqa,,ZIL,$0.070073,-9.27%,-20.48%,,,,,0.070073,,
,Ethereum Classic,,ETC,$6.41,10.34%,9.96%,,,,,6.41,,
,Maker,,MKR,$681.96,12.17%,26.19%,,,,,681.96,,
,yearn.finance,,YFI,$22469.21,3.60%,-3.42%,,,,,22469.21,,
,FTX Token,,FTT,$6.95,12.88%,34.75%,,,,,6.95,,
,Zcash,,ZEC,$60.00,1.02%,-9.68%,,,,,60.0,,
,Compound,,COMP,$146.27,1.72%,12.35%,,,,,146.27,,
,SushiSwap,,SUSHI,$3.29,6.06%,34.93%,,,,,3.29,,
,Kusama,,KSM,$69.16,-0.58%,45.91%,,,,,69.16,,
,Decred,,DCR,$46.93,3.62%,20.77%,,,,,46.93,,
,Waves,,WAVES,$5.26,-6.64%,-16.44%,,,,,5.26,,
,Algorand,,ALGO,$0.427417,-0.37%,36.70%,,,,,0.427417,,
,UMA,,UMA,$8.44,1.09%,5.68%,,,,,8.44,,
,OKB,,OKB,$7.48,-11.17%,20.87%,,,,,7.48,,
,renBTC,,RENBTC,$33847.79,8.05%,23.35%,,,,,33847.79,,
,DigiByte,,DGB,$0.030990,15.80%,11.74%,,,,,0.03099,,
,Elrond,,EGLD,$26.71,1.40%,20.70%,,,,,26.71,,
,Ontology,,ONT,$0.487986,2.50%,8.63%,,,,,0.487986,,
,The Graph,,GRT,$0.306036,-12.70%,-26.64%,,,,,0.306036,,
,Nexo,,NEXO,$0.652065,9.07%,9.00%,,,,,0.652065,,
,OMG Network,,OMG,$2.61,2.15%,4.12%,,,,,2.61,,
,Blockstack,,STX,$0.504403,9.18%,34.53%,,,,,0.504403,,
,Reserve Rights,,RSR,$0.035051,27.37%,109.26%,,,,,0.035051,,
,Terra,,LUNA,$0.673206,5.42%,21.13%,,,,,0.673206,,
,BitTorrent,,BTT,$0.000323,8.06%,9.09%,,,,,0.000323,,
,Basic Attention Token,,BAT,$0.211183,2.84%,0.48%,,,,,0.211183,,
,NEAR Protocol,,NEAR,$1.48,4.47%,34.20%,,,,,1.48,,
,0x,,ZRX,$0.379716,1.18%,-0.68%,,,,,0.379716,,
,Avalanche,,AVAX,$3.71,4.46%,25.30%,,,,,3.71,,
,ICON,,ICX,$0.483092,6.17%,16.60%,,,,,0.483092,,
,Ren,,REN,$0.312501,-1.54%,19.18%,,,,,0.312501,,
,TrueUSD,,TUSD,$1.00,0.05%,0.22%,,,,,1.0,,
,Paxos Standard,,PAX,$1.00,0.07%,0.49%,,,,,1.0,,
,Loopring,,LRC,$0.201292,13.72%,34.61%,,,,,0.201292,,
,THORChain,,RUNE,$1.50,11.41%,73.79%,,,,,1.5,,
,SwissBorg,,CHSB,$0.256246,7.63%,-11.75%,,,,,0.256246,,
,Qtum,,QTUM,$2.40,6.65%,6.56%,,,,,2.4,,
,Ampleforth,,AMPL,$1.08,10.32%,16.22%,,,,,1.08,,
,Siacoin,,SC,$0.004969,39.22%,48.74%,,,,,0.004969,,
,Hedera Hashgraph,,HBAR,$0.032833,-0.78%,2.50%,,,,,0.032833,,
,HUSD,,HUSD,$0.999907,-0.08%,0.11%,,,,,0.999907,,
,Energy Web Token,,EWT,$6.31,-2.87%,3.73%,,,,,6.31,,
,TerraUSD,,UST,$0.999105,0.64%,0.03%,,,,,0.999105,,
,ABBC Coin,,ABBC,$0.215423,-6.18%,1.26%,,,,,0.215423,,
,Augur,,REP,$16.32,-0.99%,5.19%,,,,,16.32,,
,Celo,,CELO,$1.42,-0.54%,-0.40%,,,,,1.42,,
,Ocean Protocol,,OCEAN,$0.406513,18.84%,32.87%,,,,,0.406513,,
,Kyber Network,,KNC,$0.810492,1.43%,-2.13%,,,,,0.810492,,
,Theta Fuel,,TFUEL,$0.032219,-3.99%,13.19%,,,,,0.032219,,
